Garis Kemiskinan Menurut Kabupaten Kota (Rupiah/Kapita/Bulan),,
NAMA WILAYAH,TAHUN,GARIS KEMISKINAN (Rupiah/Kapita/Bulan)
KARO,2021,531519
KARO,2022,563660
KARO,2023,606244
DELI SERDANG,2016,347030
DELI SERDANG,2017,363371
DELI SERDANG,2018,381173
DELI SERDANG,2019,390440
DELI SERDANG,2020,413202
DELI SERDANG,2021,428123
DELI SERDANG,2022,448489
DELI SERDANG,2023,479509
LANGKAT,2016,348205
LANGKAT,2017,364517
LANGKAT,2018,382536
LANGKAT,2019,392050
LANGKAT,2020,412422
LANGKAT,2021,432371
LANGKAT,2022,453383
LANGKAT,2023,483543
NIAS SELATAN,2016,238119
NIAS SELATAN,2017,249225
NIAS SELATAN,2018,261104
NIAS SELATAN,2019,279468
NIAS SELATAN,2020,312453
NIAS SELATAN,2021,329308
NIAS SELATAN,2022,350452
NIAS SELATAN,2023,379929
HUMBANG HASUNDUTAN,2016,301663
HUMBANG HASUNDUTAN,2017,313545
HUMBANG HASUNDUTAN,2018,329189
HUMBANG HASUNDUTAN,2019,336500
HUMBANG HASUNDUTAN,2020,374768
HUMBANG HASUNDUTAN,2021,397237
HUMBANG HASUNDUTAN,2022,419180
HUMBANG HASUNDUTAN,2023,451625
PAKPAK BHARAT,2016,248835
PAKPAK BHARAT,2017,256781
PAKPAK BHARAT,2018,283258
PAKPAK BHARAT,2019,287654
PAKPAK BHARAT,2020,311584
PAKPAK BHARAT,2021,332644
PAKPAK BHARAT,2022,357844
PAKPAK BHARAT,2023,384812
SAMOSIR,2016,271619
SAMOSIR,2017,287857
SAMOSIR,2018,299640
SAMOSIR,2019,315825
SAMOSIR,2020,341843
SAMOSIR,2021,370082
SAMOSIR,2022,396267
SAMOSIR,2023,425875
SERDANG BEDAGAI,2016,336478
SERDANG BEDAGAI,2017,350892
SERDANG BEDAGAI,2018,361623
SERDANG BEDAGAI,2019,382283
SERDANG BEDAGAI,2020,416991
SERDANG BEDAGAI,2021,448372
SERDANG BEDAGAI,2022,478072
SERDANG BEDAGAI,2023,503955
BATU BARA,2016,347533
BATU BARA,2017,363741
BATU BARA,2018,381651
BATU BARA,2019,408417
BATU BARA,2020,452393
BATU BARA,2021,477564
BATU BARA,2022,508524
BATU BARA,2023,556529
PADANG LAWAS UTARA,2016,278290
PADANG LAWAS UTARA,2017,291036
PADANG LAWAS UTARA,2018,321076
PADANG LAWAS UTARA,2019,342885
PADANG LAWAS UTARA,2020,380379
PADANG LAWAS UTARA,2021,401435
PADANG LAWAS UTARA,2022,430944
PADANG LAWAS UTARA,2023,467457
PADANG LAWAS,2016,268922
PADANG LAWAS,2017,281464
PADANG LAWAS,2018,310569
PADANG LAWAS,2019,332350
PADANG LAWAS,2020,367932
PADANG LAWAS,2021,388404
PADANG LAWAS,2022,418610
PADANG LAWAS,2023,449217
LABUHAN BATU SELATAN,2016,330874
LABUHAN BATU SELATAN,2017,346305
LABUHAN BATU SELATAN,2018,355517
LABUHAN BATU SELATAN,2019,368205
LABUHAN BATU SELATAN,2020,404819
LABUHAN BATU SELATAN,2021,426574
LABUHAN BATU SELATAN,2022,448994
LABUHAN BATU SELATAN,2023,486275
LABUHAN BATU UTARA,2016,361017
LABUHAN BATU UTARA,2017,378024
LABUHAN BATU UTARA,2018,395696
LABUHAN BATU UTARA,2019,422063
LABUHAN BATU UTARA,2020,471678
LABUHAN BATU UTARA,2021,497922
LABUHAN BATU UTARA,2022,527922
LABUHAN BATU UTARA,2023,573783
NIAS UTARA,2016,370371
NIAS UTARA,2017,381696
NIAS UTARA,2018,383552
NIAS UTARA,2019,390564
