Nama Wilayah,Attribute,Nilai(Rupiah/kapita/bulan)
PAPUA TENGAH,2023,-
PAPUA PEGUNUNGAN,2016,-
PAPUA PEGUNUNGAN,2017,-
PAPUA PEGUNUNGAN,2018,-
PAPUA PEGUNUNGAN,2019,-
PAPUA PEGUNUNGAN,2020,-
PAPUA PEGUNUNGAN,2021,-
PAPUA PEGUNUNGAN,2022,-
PAPUA PEGUNUNGAN,2023,-
INDONESIA,2016,372114
INDONESIA,2017,400995
INDONESIA,2018,425770
INDONESIA,2019,458380
INDONESIA,2020,475477
INDONESIA,2021,502730
INDONESIA,2022,552349
INDONESIA,2023,569299
