Jumlah Penduduk Miskin Kabupaten Kota,,
NAMA WILAYAH,TAHUN,JUMLAH (RIBU JIWA)
Simalungun,2016,92.19
Simalungun,2017,91.35
Simalungun,2018,80.3
Simalungun,2019,76.33
Simalungun,2020,73.64
Simalungun,2021,76.99
Simalungun,2022,72.47
Simalungun,2023,69.21
Dairi,2016,24.94
Dairi,2017,24.98
Dairi,2018,23.19
Dairi,2019,21.86
Dairi,2020,22.93
Dairi,2021,23.72
Dairi,2022,22.53
Dairi,2023,21.42
Karo,2016,38.74
Karo,2017,40.02
Karo,2018,35.36
Karo,2019,34.08
Karo,2020,36.57
Karo,2021,38.01
Karo,2022,35.93
Karo,2023,35.65
Deli Serdang,2016,100.09
Deli Serdang,2017,97.09
Deli Serdang,2018,88.52
Deli Serdang,2019,84.94
Deli Serdang,2020,86.26
Deli Serdang,2021,92.52
Deli Serdang,2022,85.28
Deli Serdang,2023,82.75
Langkat,2016,115.79
Langkat,2017,114.41
Langkat,2018,105.46
Langkat,2019,103.08
Langkat,2020,101.87
Langkat,2021,106.59
Langkat,2022,100.45
Langkat,2023,98.16
Nias Selatan,2016,57.75
Nias Selatan,2017,57.95
Nias Selatan,2018,52.7
Nias Selatan,2019,52.51
Nias Selatan,2020,53.88
Nias Selatan,2021,55.16
Nias Selatan,2022,54.16
Nias Selatan,2023,54.29
Humbang Hasundutan,2016,18.04
Humbang Hasundutan,2017,18.35
Humbang Hasundutan,2018,16.93
Humbang Hasundutan,2019,16.6
Humbang Hasundutan,2020,17.92
Humbang Hasundutan,2021,18.71
Humbang Hasundutan,2022,17.33
Humbang Hasundutan,2023,17.14
Pakpak Bharat,2016,4.95
Pakpak Bharat,2017,4.95
Pakpak Bharat,2018,4.66
Pakpak Bharat,2019,4.52
Pakpak Bharat,2020,4.59
Pakpak Bharat,2021,4.79
Pakpak Bharat,2022,4.52
Pakpak Bharat,2023,4.01
Samosir,2016,18.01
Samosir,2017,18.43
Samosir,2018,16.81
Samosir,2019,15.79
Samosir,2020,15.8
Samosir,2021,16.08
Samosir,2022,14.97
Samosir,2023,14.86
Serdang Bedagai,2016,58.17
