PERSENTASE PENDUDUK P0 MISKIN KABUPATEN KOTA,,
NAMA WILAYAH,TAHUN,PENDUDUK MISKIN (Persen)
Aceh Jaya,2010,20.17
Aceh Jaya,2011,19.8
Aceh Jaya,2012,18.3
Aceh Jaya,2013,17.53
Aceh Jaya,2014,16.52
Aceh Jaya,2015,15.93
Aceh Jaya,2016,15.01
Aceh Jaya,2017,14.85
Aceh Jaya,2018,14.16
Aceh Jaya,2019,13.36
Aceh Jaya,2020,12.87
Aceh Jaya,2021,13.23
Aceh Jaya,2022,12.51
Aceh Jaya,2023,12.42
Aceh Jaya,2024,12.25
Bener Meriah,2004,-
Bener Meriah,2005,28.18
Bener Meriah,2006,27.98
Bener Meriah,2007,26.55
Bener Meriah,2008,29.21
Bener Meriah,2009,26.58
Bener Meriah,2010,26.22
Bener Meriah,2011,25.5
Bener Meriah,2012,24.5
Bener Meriah,2013,23.47
Bener Meriah,2014,22.45
Bener Meriah,2015,21.55
Bener Meriah,2016,21.43
Bener Meriah,2017,21.14
Bener Meriah,2018,20.13
Bener Meriah,2019,19.3
Bener Meriah,2020,18.89
Bener Meriah,2021,19.16
Bener Meriah,2022,18.39
Bener Meriah,2023,18.31
Bener Meriah,2024,18.18
Pidie Jaya,2004,-
Pidie Jaya,2005,-
Pidie Jaya,2006,-
Pidie Jaya,2007,35
Pidie Jaya,2008,30.26
Pidie Jaya,2009,27.97
Pidie Jaya,2010,26.07
Pidie Jaya,2011,25.43
Pidie Jaya,2012,24.35
Pidie Jaya,2013,22.7
Pidie Jaya,2014,21.78
Pidie Jaya,2015,21.4
Pidie Jaya,2016,21.18
Pidie Jaya,2017,21.82
Pidie Jaya,2018,20.17
Pidie Jaya,2019,19.31
Pidie Jaya,2020,19.19
Pidie Jaya,2021,19.55
Pidie Jaya,2022,18.45
Pidie Jaya,2023,18.4
Pidie Jaya,2024,18.28
Kota Banda Aceh,2004,8.89
Kota Banda Aceh,2005,8.2
Kota Banda Aceh,2006,8.25
Kota Banda Aceh,2007,6.61
Kota Banda Aceh,2008,9.56
Kota Banda Aceh,2009,8.64
Kota Banda Aceh,2010,9.19
Kota Banda Aceh,2011,9.08
Kota Banda Aceh,2012,8.65
Kota Banda Aceh,2013,8.03
Kota Banda Aceh,2014,7.78
Kota Banda Aceh,2015,7.72
Kota Banda Aceh,2016,7.41
Kota Banda Aceh,2017,7.44
Kota Banda Aceh,2018,7.25
Kota Banda Aceh,2019,7.22
Kota Banda Aceh,2020,6.9
Kota Banda Aceh,2021,7.61
Kota Banda Aceh,2022,7.13
Kota Banda Aceh,2023,7.04
Kota Banda Aceh,2024,6.95
Kota Sabang,2004,31.46
Kota Sabang,2005,29.17
Kota Sabang,2006,28.56
Kota Sabang,2007,27.13
Kota Sabang,2008,25.72
Kota Sabang,2009,23.89
Kota Sabang,2010,21.68
Kota Sabang,2011,21.31
Kota Sabang,2012,20.51
Kota Sabang,2013,18.31
Kota Sabang,2014,17.02
Kota Sabang,2015,17.69
Kota Sabang,2016,17.33
Kota Sabang,2017,17.66
Kota Sabang,2018,16.31
Kota Sabang,2019,15.6
Kota Sabang,2020,14.94
Kota Sabang,2021,15.32
Kota Sabang,2022,14.66
Kota Sabang,2023,14.59
Kota Sabang,2024,14.58
Kota Langsa,2004,15.29
Kota Langsa,2005,14.68
Kota Langsa,2006,13.95
Kota Langsa,2007,14.25
Kota Langsa,2008,17.97
Kota Langsa,2009,16.2
Kota Langsa,2010,15.01
Kota Langsa,2011,14.66
Kota Langsa,2012,13.93
Kota Langsa,2013,12.62
Kota Langsa,2014,12.08
Kota Langsa,2015,11.62
Kota Langsa,2016,11.09
Kota Langsa,2017,11.24
Kota Langsa,2018,10.79
Kota Langsa,2019,10.57
Kota Langsa,2020,10.44
Kota Langsa,2021,10.96
Kota Langsa,2022,10.62
Kota Langsa,2023,10.53
Kota Langsa,2024,10.33
Kota Lhokseumawe,2004,14.98
Kota Lhokseumawe,2005,15.57
Kota Lhokseumawe,2006,14.25
Kota Lhokseumawe,2007,12.75
Kota Lhokseumawe,2008,15.87
Kota Lhokseumawe,2009,15.08
Kota Lhokseumawe,2010,14.07
Kota Lhokseumawe,2011,13.73
Kota Lhokseumawe,2012,13.06
Kota Lhokseumawe,2013,12.47
Kota Lhokseumawe,2014,11.93
Kota Lhokseumawe,2015,12.16
Kota Lhokseumawe,2016,11.98
Kota Lhokseumawe,2017,12.32
Kota Lhokseumawe,2018,11.81
Kota Lhokseumawe,2019,11.18
Kota Lhokseumawe,2020,10.8
Kota Lhokseumawe,2021,11.16
Kota Lhokseumawe,2022,10.84
Kota Lhokseumawe,2023,10.73
Kota Lhokseumawe,2024,10.44
Kota Subulussalam,2004,-
Kota Subulussalam,2005,-
Kota Subulussalam,2006,-
Kota Subulussalam,2007,30.16
Kota Subulussalam,2008,28.99
Kota Subulussalam,2009,26.8
Kota Subulussalam,2010,24.33
Kota Subulussalam,2011,23.85
Kota Subulussalam,2012,22.63
Kota Subulussalam,2013,20.69
Kota Subulussalam,2014,19.72
Kota Subulussalam,2015,20.39
Kota Subulussalam,2016,19.57
Kota Subulussalam,2017,19.71
Kota Subulussalam,2018,18.51
Kota Subulussalam,2019,17.95
Kota Subulussalam,2020,17.6
Kota Subulussalam,2021,17.65
Kota Subulussalam,2022,16.94
Kota Subulussalam,2023,16.41
Kota Subulussalam,2024,16.38
SUMATERA UTARA,2004,14.93
SUMATERA UTARA,2005,14.68
SUMATERA UTARA,2006,15.01
SUMATERA UTARA,2007,13.9
SUMATERA UTARA,2008,12.47
SUMATERA UTARA,2009,11.27
SUMATERA UTARA,2010,11.36
SUMATERA UTARA,2011,10.83
SUMATERA UTARA,2012,10.41
SUMATERA UTARA,2013,10.39
SUMATERA UTARA,2014,9.85
SUMATERA UTARA,2015,10.53
SUMATERA UTARA,2016,10.35
SUMATERA UTARA,2017,10.22
SUMATERA UTARA,2018,9.22
SUMATERA UTARA,2019,8.83
SUMATERA UTARA,2020,8.75
SUMATERA UTARA,2021,9.01
SUMATERA UTARA,2022,8.42
SUMATERA UTARA,2023,8.15
SUMATERA UTARA,2024,7.99
Nias,2004,31.58
Nias,2005,30.8
Nias,2006,31.53
Nias,2007,31.75
Nias,2008,25.19
Nias,2009,22.57
Nias,2010,19.97
Nias,2011,19.11
Nias,2012,18.67
Nias,2013,17.28
Nias,2014,16.39
Nias,2015,18.05
Nias,2016,17.64
Nias,2017,18.11
Nias,2018,16.37
Nias,2019,15.94
Nias,2020,16.6
Nias,2021,16.82
Nias,2022,16
Nias,2023,15.1
Nias,2024,14.89
Mandailing Natal,2004,21.31
Mandailing Natal,2005,21.5
Mandailing Natal,2006,20.58
Mandailing Natal,2007,18.74
Mandailing Natal,2008,14.46
Mandailing Natal,2009,13.02
Mandailing Natal,2010,12.6
Mandailing Natal,2011,11.98
Mandailing Natal,2012,11.58
Mandailing Natal,2013,9.62
Mandailing Natal,2014,9.28
Mandailing Natal,2015,11.13
Mandailing Natal,2016,10.98
Mandailing Natal,2017,11.02
Mandailing Natal,2018,9.58
Mandailing Natal,2019,9.11
Mandailing Natal,2020,9.18
Mandailing Natal,2021,9.49
Mandailing Natal,2022,8.92
Mandailing Natal,2023,8.86
Mandailing Natal,2024,8.69
Tapanuli Selatan,2004,22.08
Tapanuli Selatan,2005,20.41
Tapanuli Selatan,2006,21.05
Tapanuli Selatan,2007,20.33
Tapanuli Selatan,2008,13.77
Tapanuli Selatan,2009,12.67
Tapanuli Selatan,2010,11.96
Tapanuli Selatan,2011,11.4
Tapanuli Selatan,2012,11.1
