SEKTOR,TAHUN,RATA UPAH (RUPIAH / BULAN)
"JASA PROFESIONAL DAN PERUSAHAAN			",2019,3362435
"JASA PROFESIONAL DAN PERUSAHAAN			",2020,3369897.5
"JASA PROFESIONAL DAN PERUSAHAAN			",2021,3201337.5
"JASA PROFESIONAL DAN PERUSAHAAN			",2022,3719069
"JASA PROFESIONAL DAN PERUSAHAAN			",2023,3796656.5
"ADMINISTRASI PEMERINTAHAN, PERTAHANAN, DAN JAMINAN SOSIAL WAJIB	",2016,3335824
"ADMINISTRASI PEMERINTAHAN, PERTAHANAN, DAN JAMINAN SOSIAL WAJIB	",2017,3932614.5
"ADMINISTRASI PEMERINTAHAN, PERTAHANAN, DAN JAMINAN SOSIAL WAJIB	",2018,3838691
"ADMINISTRASI PEMERINTAHAN, PERTAHANAN, DAN JAMINAN SOSIAL WAJIB	",2019,3871792.5
"ADMINISTRASI PEMERINTAHAN, PERTAHANAN, DAN JAMINAN SOSIAL WAJIB	",2020,3886063.5
"ADMINISTRASI PEMERINTAHAN, PERTAHANAN, DAN JAMINAN SOSIAL WAJIB	",2021,3906484
"ADMINISTRASI PEMERINTAHAN, PERTAHANAN, DAN JAMINAN SOSIAL WAJIB	",2022,3901164
"ADMINISTRASI PEMERINTAHAN, PERTAHANAN, DAN JAMINAN SOSIAL WAJIB	",2023,3923594
"PENDIDIKAN			",2016,2497251
"PENDIDIKAN			",2017,2829212.5
"PENDIDIKAN			",2018,2765684.5
"PENDIDIKAN			",2019,2703010
"PENDIDIKAN			",2020,2707389
"PENDIDIKAN			",2021,2639597
"PENDIDIKAN			",2022,2602690.5
"PENDIDIKAN			",2023,2589232.5
"AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL			",2016,2648932
"AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL			",2017,3095693.5
"AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL			",2018,3161583.5
"AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL			",2019,3376768.5
"AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL			",2020,3317490
"AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL			",2021,3325875.5
"AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL			",2022,3496222.5
"AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL			",2023,3613930
"JASA LAINNYA		",2016,1368252
"JASA LAINNYA		",2017,1580455.5
"JASA LAINNYA		",2018,1532475
"JASA LAINNYA		",2019,1724500
"JASA LAINNYA		",2020,1700997.5
"JASA LAINNYA		",2021,1654347
"JASA LAINNYA		",2022,1783297.5
"JASA LAINNYA		",2023,1829756.5
